"","word","n"
"585","ocala",3
"586","officers",3
"587","omar",3
"588","online",3
"589","opportunity",3
"590","outvote",3
"591","paid",3
"592","past",3
"593","phone",3
"594","pick",3
"595","pillar",3
"596","plague",3
"597","play",3
"598","playing",3
"599","politicians",3
"600","potus",3
"601","praying",3
"602","prepared",3
"603","previously",3
"604","prior",3
"605","protecting",3
"606","proven",3
"607","question",3
"608","rating",3
"609","reading",3
"610","receive",3
"611","records",3
"612","refused",3
"613","register",3
"614","repeatedly",3
"615","reporting",3
"616","requested",3
"617","requesting",3
"618","rules",3
"619","rush",3
"620","schools",3
"621","share",3
"622","shes",3
"623","simple",3
"624","single",3
"625","speak",3
"626","spoke",3
"627","staff",3
"628","stands",3
"629","stories",3
"630","succeeds",3
"631","successful",3
"632","system",3
"633","tech",3
"634","terrible",3
"635","terrific",3
"636","todays",3
"637","top",3
"638","town",3
"639","trade",3
"640","trail",3
"641","trumper",3
"642","truth",3
"643","union",3
"644","veritas",3
"645","vets",3
"646","vice",3
"647","waiting",3
"648","walter",3
"649","warrior",3
"650","washington",3
"651","weve",3
"652","wonderful",3
"653","worse",3
"654","worst",3
"655","wouldnt",3
"656","yesterday",3
"657","accurate",2
"658","accused",2
"659","achieved",2
"660","adding",2
"661","admits",2
"662","admitted",2
"663","advantage",2
"664","advocate",2
"665","agents",2
"666","ahead",2
"667","al",2
"668","alabama",2
"669","alaskacanada",2
"670","alert",2
"671","allowed",2
"672","ally",2
"673","amateur",2
"674","americaand",2
"675","americanow",2
"676","amyconeybarrett",2
"677","anchor",2
"678","aoc",2
"679","apologized",2
"680","apology",2
"681","approved",2
"682","arrested",2
"683","arrived",2
"684","ashley",2
"685","assault",2
"686","association",2
"687","attacking",2
"688","authority",2
"689","awesome",2
"690","az",2
"691","bailout",2
"692","banned",2
"693","barry",2
"694","beat",2
"695","bel",2
"696","bigger",2
"697","blood",2
"698","bloombergs",2
"699","bob",2
"700","break",2
"701","bringing",2
"702","built",2
"703","burn",2
"704","businesses",2
"705","byatenjoy",2
"706","calculate",2
"707","caliphate",2
"708","called",2
"709","cancel",2
"710","card",2
"711","cast",2
"712","champion",2
"713","changing",2
"714","chaos",2
"715","charges",2
"716","charles",2
"717","cheating",2
"718","christmas",2
"719","chuck",2
"720","cia",2
"721","cindy",2
"722","claim",2
"723","clicking",2
"724","clintons",2
"725","clock",2
"726","closed",2
"727","clue",2
"728","coast",2
"729","colorado",2
"730","comeback",2
"731","comments",2
"732","commitment",2
"733","commonwealth",2
"734","complaint",2
"735","completetotal",2
"736","confirmacb",2
"737","confirmation",2
"738","conflicts",2
"739","congresswoman",2
"740","conspiracy",2
"741","constantly",2
"742","cool",2
"743","copy",2
"744","cory",2
"745","costand",2
"746","couldnt",2
"747","countrys",2
"748","couple",2
"749","cour",2
"750","courts",2
"751","crowds",2
"752","cuba",2
"753","cuban",2
"754","darrell",2
"755","daughter",2
"756","david",2
"757","dc",2
"758","deals",2
"759","delivering",2
"760","demanded",2
"761","demanding",2
"762","democ",2
"763","democracy",2
"764","department",2
"765","desire",2
"766","destroyed",2
"767","developed",2
"768","diana",2
"769","disastrous",2
"770","discuss",2
"771","doj",2
"772","domestic",2
"773","donate",2
"774","drive",2
"775","drudge",2
"776","duluth",2
"777","duty",2
"778","easier",2
"779","economic",2
"780","effective",2
"781","effort",2
"782","efforts",2
"783","elite",2
"784","elizabeth",2
"785","employees",2
"786","empower",2
"787","endless",2
"788","endorsed",2
"789","endorses",2
"790","ensure",2
"791","enthusiastic",2
"792","error",2
"793","ethics",2
"794","events",2
"795","evidence",2
"796","expect",2
"797","experience",2
"798","exposed",2
"799","extraordinary",2
"800","fair",2
"801","fairness",2
"802","faith",2
"803","fighter",2
"804","filed",2
"805","final",2
"806","finally",2
"807","finalstage",2
"808","finest",2
"809","firearm",2
"810","fix",2
"811","fixed",2
"812","fl",2
"813","flake",2
"814","fool",2
"815","formally",2
"816","fraternal",2
"817","freedom",2
"818","freedoms",2
"819","furor",2
"820","ga",2
"821","gains",2
"822","game",2
"823","games",2
"824","goodbye",2
"825","greenville",2
"826","ha",2
"827","hacking",2
"828","hair",2
"829","half",2
"830","happy",2
"831","harder",2
"832","harriss",2
"833","hearing",2
"834","heartland",2
"835","heritage",2
"836","hike",2
"837","homes",2
"838","honoree",2
"839","horror",2
"840","hours",2
"841","htt",2
"842","huge",2
"843","husbands",2
"844","ia",2
"845","ig",2
"846","ignoring",2
"847","impeach",2
"848","impressive",2
"849","inamericans",2
"850","incorrect",2
"851","increase",2
"852","industry",2
"853","info",2
"854","inside",2
"855","insisted",2
"856","integrity",2
"857","intel",2
"858","intellect",2
"859","international",2
"860","interrupt",2
"861","investigated",2
"862","investigations",2
"863","investigators",2
"864","isis",2
"865","issue",2
"866","jerry",2
"867","joebidenukrainescandal",2
"868","joes",2
"869","johnson",2
"870","justand",2
"871","kavanaugh",2
"872","kicked",2
"873","kill",2
"874","killing",2
"875","knights",2
"876","late",2
"877","leadership",2
"878","leading",2
"879","learn",2
"880","leaving",2
"881","leftist",2
"882","leo",2
"883","lesson",2
"884","liberal",2
"885","likes",2
"886","likewise",2
"887","limbaugh",2
"888","lockdown",2
"889","lockdowns",2
"890","lou",2
"891","loved",2
"892","loves",2
"893","mailed",2
"894","mainstream",2
"895","managed",2
"896","manufacturing",2
"897","mask",2
"898","masks",2
"899","mccain",2
"900","meet",2
"901","meetings",2
"902","mi",2
"903","minds",2
"904","minority",2
"905","missouri",2
"906","mistake",2
"907","mitch",2
"908","mn",2
"909","moment",2
"910","montana",2
"911","motors",2
"912","nasty",2
"913","nation",2
"914","nc",2
"915","needin",2
"916","negotiating",2
"917","neighbors",2
"918","nevada",2
"919","noh",2
"920","nominated",2
"921","nominating",2
"922","norms",2
"923","nra",2
"924","oath",2
"925","obamabiden",2
"926","obamacare",2
"927","obamas",2
"928","obliterated",2
"929","oddsgreat",2
"930","officials",2
"931","oil",2
"932","opponent",2
"933","opposition",2
"934","outrageous",2
"935","overtime",2
"936","page",2
"937","pass",2
"938","pathetic",2
"939","paul",2
"940","paymillion",2
"941","peaceful",2
"942","permanently",2
"943","phenomenal",2
"944","philly",2
"945","plans",2
"946","plot",2
"947","podcast",2
"948","policy",2
"949","positive",2
"950","potential",2
"951","ppl",2
"952","precedent",2
"953","presidentdelivers",2
"954","presidentholds",2
"955","presidenton",2
"956","presidents",2
"957","presidentsaid",2
"958","prevail",2
"959","primaries",2
"960","primary",2
"961","prime",2
"962","private",2
"963","prize",2
"964","program",2
"965","proof",2
"966","prosecuted",2
"967","protected",2
"968","provided",2
"969","puerto",2
"970","pushing",2
"971","qualified",2
"972","quarantine",2
"973","raised",2
"974","rasmussen",2
"975","rebuilt",2
"976","recent",2
"977","redistribute",2
"978","regional",2
"979","registration",2
"980","relief",2
"981","religion",2
"982","remaining",2
"983","replace",2
"984","reportedly",2
"985","reporters",2
"986","respect",2
"987","respected",2
"988","return",2
"989","returning",2
"990","reveal",2
"991","revealed",2
"992","rico",2
"993","rnc",2
"994","roomam",2
"995","rulesregulations",2
"996","salary",2
"997","sanford",2
"998","sasse",2
"999","saturday",2
"1000","scam",2
"1001","scheme",2
"1002","science",2
"1003","scott",2
"1004","sean",2
"1005","seat",2
"1006","secure",2
"1007","secured",2
"1008","serving",2
"1009","severe",2
"1010","sex",2
"1011","shock",2
"1012","shortly",2
"1013","shot",2
"1014","shown",2
"1015","shred",2
"1016","sick",2
"1017","simington",2
"1018","sinceand",2
"1019","sit",2
"1020","smart",2
"1021","smarter",2
"1022","smoking",2
"1023","social",2
"1024","soldiers",2
"1025","soul",2
"1026","southern",2
"1027","spent",2
"1028","spot",2
"1029","spy",2
"1030","stage",2
"1031","start",2
"1032","starting",2
"1033","starts",2
"1034","statements",2
"1035","stay",2
"1036","stopped",2
"1037","straight",2
"1038","stunning",2
"1039","successor",2
"1040","sued",2
"1041","sullivan",2
"1042","supported",2
"1043","supporter",2
"1044","suspended",2
"1045","swing",2
"1046","takes",2
"1047","team",2
"1048","terrell",2
"1049","tested",2
"1050","tests",2
"1051","thatdidnt",2
"1052","thatof",2
"1053","theyd",2
"1054","thread",2
"1055","threw",2
"1056","tiffany",2
"1057","tim",2
"1058","toon",2
"1059","tough",2
"1060","tracey",2
"1061","trafficking",2
"1062","trending",2
"1063","trick",2
"1064","trumprussia",2
"1065","trust",2
"1066","twitters",2
"1067","uk",2
"1068","ukraine",2
"1069","understand",2
"1070","unemployment",2
"1071","unusual",2
"1072","usual",2
"1073","va",2
"1074","vacancies",2
"1075","vaccines",2
"1076","values",2
"1077","veteranshispanic",2
"1078","view",2
"1079","violent",2
"1080","visitto",2
"1081","votes",2
"1082","wa",2
"1083","wallander",2
"1084","war",2
"1085","wars",2
"1086","watching",2
"1087","wednesday",2
"1088","wellqualified",2
"1089","werent",2
"1090","west",2
"1091","wh",2
"1092","wife",2
"1093","wild",2
"1094","wiped",2
"1095","women",2
"1096","words",2
"1097","worker",2
"1098","wray",2
"1099","yeah",2
"1100","yvette",2
"1101","aa",1
"1102","abc",1
"1103","abe",1
"1104","ability",1
"1105","aboion",1
"1106","abolish",1
"1107","abou",1
"1108","aboutthings",1
"1109","aboutunmasking",1
"1110","abraham",1
"1111","abruptly",1
"1112","absolute",1
"1113","academic",1
"1114","access",1
"1115","accords",1
"1116","account",1
"1117","accountable",1
"1118","achieve",1
"1119","achievement",1
"1120","acted",1
"1121","acting",1
"1122","action",1
"1123","actions",1
"1124","active",1
"1125","activities",1
"1126","activity",1
"1127","actthe",1
"1128","ad",1
"1129","added",1
"1130","additional",1
"1131","addressed",1
"1132","addresses",1
"1133","addressing",1
"1134","admitsflynn",1
"1135","adsone",1
"1136","advanced",1
"1137","advi",1
"1138","advisernever",1
"1139","aenergy",1
"1140","affected",1
"1141","affirm",1
"1142","afford",1
"1143","affordable",1
"1144","afghanistan",1
"1145","afraid",1
"1146","afraidthank",1
"1147","aft",1
"1148","afteri",1
"1149","ag",1
"1150","agencies",1
"1151","agreeand",1
"1152","agreed",1
"1153","agreements",1
"1154","air",1
"1155","airing",1
"1156","airline",1
"1157","airwaves",1
"1158","alaska",1
"1159","aliens",1
"1160","aliensdecimating",1
"1161","alleged",1
"1162","alltimes",1
"1163","almostpercent",1
"1164","alternative",1
"1165","amajorstimulus",1
"1166","amaz",1
"1167","amazin",1
"1168","amazing",1
"1169","amazingtremendous",1
"1170","amazon",1
"1171","ambiguity",1
"1172","amendmentimplement",1
"1173","amendmentits",1
"1174","amennot",1
"1175","americanhighly",1
"1176","americasmillion",1
"1177","americasnot",1
"1178","ammar",1
"1179","amnesty",1
"1180","amycom",1
"1181","analyst",1
"1182","anarchists",1
"1183","andrew",1
"1184","andrewcuomo",1
"1185","andyears",1
"1186","announces",1
"1187","announcing",1
"1188","annually",1
"1189","ano",1
"1190","answers",1
"1191","anticipation",1
"1192","anyall",1
"1193","ap",1
"1194","apologised",1
"1195","app",1
"1196","applaud",1
"1197","apple",1
"1198","applicants",1
"1199","applied",1
"1200","apply",1
"1201","appoint",1
"1202","approached",1
"1203","approaching",1
"1204","approve",1
"1205","approvebillion",1
"1206","approving",1
"1207","arent",1
"1208","ari",1
"1209","arizonas",1
"1210","arm",1
"1211","armed",1
"1212","aroundpm",1
"1213","arrests",1
"1214","arrive",1
"1215","article",1
"1216","artist",1
"1217","asap",1
"1218","asapthank",1
"1219","ashamed",1
"1220","asis",1
"1221","assassinations",1
"1222","assertion",1
"1223","assessment",1
"1224","assigned",1
"1225","assistant",1
"1226","associate",1
"1227","associates",1
"1228","assume",1
"1229","astronaut",1
"1230","astronauts",1
"1231","atax",1
"1232","atlanta",1
"1233","atpmenjoy",1
"1234","att",1
"1235","attend",1
"1236","attitude",1
"1237","atty",1
"1238","august",1
"1239","author",1
"1240","authorized",1
"1241","auto",1
"1242","avalanche",1
"1243","average",1
"1244","averages",1
"1245","avoiding",1
"1246","aware",1
"1247","ayatollah",1
"1248","azpremiumsafterw",1
"1249","azs",1
"1250","ba",1
"1251","bader",1
"1252","bag",1
"1253","bailing",1
"1254","balcony",1
"1255","ballotenvelope",1
"1256","ballotharvesting",1
"1257","ballotwe",1
"1258","baltimore",1
"1259","bama",1
"1260","banning",1
"1261","bans",1
"1262","barretts",1
"1263","base",1
"1264","baseless",1
"1265","bass",1
"1266","battlegrounds",1
"1267","battles",1
"1268","beach",1
"1269","bearing",1
"1270","beaten",1
"1271","beauty",1
"1272","bef",1
"1273","beginsvoteearly",1
"1274","begun",1
"1275","begunvote",1
"1276","behavior",1
"1277","believed",1
"1278","believes",1
"1279","belittle",1
"1280","belong",1
"1281","beloved",1
"1282","benefits",1
"1283","bet",1
"1284","beto",1
"1285","betray",1
"1286","betrayals",1
"1287","bettercheaper",1
"1288","beyondwhich",1
"1289","bidenbeto",1
"1290","bidenlinked",1
"1291","bidenmillion",1
"1292","bidenrolling",1
"1293","bigpointsgreat",1
"1294","bigtechcensorship",1
"1295","bigten",1
"1296","billing",1
"1297","bills",1
"1298","bin",1
"1299","bins",1
"1300","bipartisan",1
"1301","birth",1
"1302","birthday",1
"1303","bizarre",1
"1304","blac",1
"1305","blackouts",1
"1306","blathering",1
"1307","ble",1
"1308","bless",1
"1309","blessings",1
"1310","blew",1
"1311","blithely",1
"1312","blockbuster",1
"1313","blocked",1
"1314","blowing",1
"1315","blue",1
"1316","bluechecks",1
"1317","bluffs",1
"1318","blunt",1
"1319","boating",1
"1320","boe",1
"1321","bogus",1
"1322","bombshellhuge",1
"1323","bombshellstory",1
"1324","bookers",1
"1325","books",1
"1326","boom",1
"1327","booming",1
"1328","boost",1
"1329","boring",1
"1330","boris",1
"1331","bosses",1
"1332","bought",1
"1333","bounces",1
"1334","boxes",1
"1335","brain",1
"1336","brand",1
"1337","breakdown",1
"1338","breakingjust",1
"1339","breakingnews",1
"1340","breaks",1
"1341","breitbart",1
"1342","brennan",1
"1343","brennansfusion",1
"1344","bribery",1
"1345","bribing",1
"1346","brigadein",1
"1347","brighter",1
"1348","broadcasting",1
"1349","broke",1
"1350","brookings",1
"1351","broward",1
"1352","brownouts",1
"1353","bs",1
"1354","btwhile",1
"1355","buildings",1
"1356","bureaus",1
"1357","bureausandrew",1
"1358","burglary",1
"1359","buris",1
"1360","burisma",1
"1361","burned",1
"1362","bury",1
"1363","businessesour",1
"1364","businesswoman",1
"1365","butfun",1
"1366","butminutes",1
"1367","buy",1
"1368","buying",1
"1369","byatamgreat",1
"1370","byis",1
"1371","byonatamenjoy",1
"1372","bythank",1
"1373","bytoif",1
"1374","bytonight",1
"1375","calendar",1
"1376","camefrom",1
"1377","camera",1
"1378","campuses",1
"1379","cancer",1
"1380","candidacy",1
"1381","candidateand",1
"1382","candidates",1
"1383","candidatetoday",1
"1384","capital",1
"1385","car",1
"1386","career",1
"1387","careful",1
"1388","cares",1
"1389","carlin",1
"1390","carry",1
"1391","carson",1
"1392","carter",1
"1393","cash",1
"1394","cashforballots",1
"1395","cashforvotes",1
"1396","castro",1
"1397","castrochavismo",1
"1398","castrochavistas",1
"1399","castrolover",1
"1400","casts",1
"1401","catastrophe",1
"1402","caughtfromremoving",1
"1403","cbs",1
"1404","cdt",1
"1405","celebrate",1
"1406","celeste",1
"1407","cell",1
"1408","censorsbut",1
"1409","censorship",1
"1410","central",1
"1411","century",1
"1412","ceremony",1
"1413","cha",1
"1414","chairman",1
"1415","chairmanto",1
"1416","challenge",1
"1417","challenger",1
"1418","championed",1
"1419","changeslaw",1
"1420","channels",1
"1421","chanting",1
"1422","chapter",1
"1423","character",1
"1424","chastises",1
"1425","cheaper",1
"1426","cheated",1
"1427","check",1
"1428","checksthey",1
"1429","chief",1
"1430","chiefs",1
"1431","child",1
"1432","childish",1
"1433","chinas",1
"1434","choices",1
"1435","choosing",1
"1436","christopher",1
"1437","church",1
"1438","ciadoj",1
"1439","citizen",1
"1440","citizensyou",1
"1441","claimed",1
"1442","claiming",1
"1443","clarified",1
"1444","class",1
"1445","classand",1
"1446","classic",1
"1447","clean",1
"1448","cleaned",1
"1449","cleared",1
"1450","clearwhen",1
"1451","click",1
"1452","clients",1
"1453","clip",1
"1454","closedthousands",1
"1455","closely",1
"1456","closelyplease",1
"1457","closethey",1
"1458","closing",1
"1459","coaches",1
"1460","college",1
"1461","collude",1
"1462","colombia",1
"1463","colombian",1
"1464","combination",1
"1465","commend",1
"1466","comment",1
"1467","communism",1
"1468","communities",1
"1469","community",1
"1470","comorbidity",1
"1471","compared",1
"1472","competitive",1
"1473","compilation",1
"1474","complex",1
"1475","compliment",1
"1476","concast",1
"1477","concasthosted",1
"1478","concerns",1
"1479","condemn",1
"1480","condemning",1
"1481","conduct",1
"1482","conducted",1
"1483","confidence",1
"1484","confiding",1
"1485","confir",1
"1486","confirmed",1
"1487","confiscate",1
"1488","confiscationpromisingin",1
"1489","conflict",1
"1490","congrats",1
"1491","connected",1
"1492","connections",1
"1493","conservative",1
"1494","constituents",1
"1495","constitutio",1
"1496","consumed",1
"1497","contents",1
"1498","continue",1
"1499","contractors",1
"1500","contrast",1
"1501","conversation",1
"1502","conviction",1
"1503","coolstrobe",1
"1504","coordination",1
"1505","cop",1
"1506","copious",1
"1507","copsburn",1
"1508","copsfortrump",1
"1509","corker",1
"1510","coronavirusall",1
"1511","corporations",1
"1512","corps",1
"1513","corpse",1
"1514","corr",1
"1515","correctness",1
"1516","correspondentsout",1
"1517","corroborates",1
"1518","costly",1
"1519","cou",1
"1520","coughing",1
"1521","counsel",1
"1522","count",1
"1523","counted",1
"1524","countries",1
"1525","countryand",1
"1526","counts",1
"1527","courtbut",1
"1528","courtexplainsand",1
"1529","courthas",1
"1530","courtpacking",1
"1531","covering",1
"1532","covidterrible",1
"1533","covidwhere",1
"1534","crafted",1
"1535","craftswill",1
"1536","crazier",1
"1537","create",1
"1538","creator",1
"1539","credentials",1
"1540","credibility",1
"1541","credits",1
"1542","crimes",1
"1543","crimina",1
"1544","criminals",1
"1545","criminalsterrorists",1
"1546","critical",1
"1547","crock",1
"1548","croo",1
"1549","crooks",1
"1550","crossborder",1
"1551","crucial",1
"1552","cruz",1
"1553","ct",1
"1554","cuomo",1
